name,address,Latitude,Longitude,geometry,city,city_candidates
Molineux Stadium,"Molineux Stadium, Waterloo Road, Wolverhampton, West Midlands Combined Authority, West Midlands, England, WV1 4QR, United Kingdom",52.590272299999995,-2.130407903777414,POINT (-2.130407903777414 52.590272299999995),Wolverhampton,Wolverhampton
Old Trafford Stadium,"Old Trafford, Sir Matt Busby Way, Wharfside, Gorse Hill, Trafford, Greater Manchester, North West England, England, M16 0RA, United Kingdom",53.46310955,-2.2913864850545362,POINT (-2.2913864850545362 53.46310955),Manchester,"['Manchester', 'Trafford']"
Selhurst Park,"Selhurst Park, Whitehorse Lane, Thornton Heath, London Borough of Croydon, London, Greater London, England, SE25 6PU, United Kingdom",51.39824295,-0.085255058181276,POINT (-0.085255058181276 51.39824295),London,London
St James' Park,"St. James' Park, Barrack Road, Grainger Town, Newcastle upon Tyne, Tyne and Wear, North East England, England, NE1 4ST, United Kingdom",54.9754693,-1.621873666214279,POINT (-1.621873666214279 54.9754693),Newcastle upon Tyne,Newcastle upon Tyne
St Mary's Stadium,"St. Mary's Stadium, Britannia Road, Mount Pleasant, Northam, Southampton, South East England, England, SO14 5FP, United Kingdom",50.90582665,-1.3908816660070666,POINT (-1.3908816660070666 50.90582665),Southampton,Southampton
Stamford Bridge Stadium,"Stamford Bridge, West Road, The Boltons, Earl's Court, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW10 9UN, United Kingdom",51.481686499999995,-0.19103517666346065,POINT (-0.1910351766634606 51.481686499999995),London,London
Tottenham Hotspur Stadium,"Tottenham Hotspur Stadium, Paxton Terrace, Tottenham, London Borough of Haringey, London, Greater London, England, N17 0AP, United Kingdom",51.6041916,-0.06623490525918088,POINT (-0.0662349052591809 51.6041916),London,London
Turf Moor Stadium,"Turf Moor, Harry Potts Way, Pike Hill, Fulledge, Burnley, Lancashire, North West England, England, BB10 4BZ, United Kingdom",53.78934975,-2.229905784614869,POINT (-2.229905784614869 53.78934975),Burnley,"['Burnley', 'Lancashire']"
Vicarage Road Stadium,"Vicarage Road Stadium, Vicarage Road, Watford Heath, Holywell, Watford, Hertfordshire, East of England, England, WD18 0HA, United Kingdom",51.64975895,-0.40134888568086824,POINT (-0.4013488856808682 51.64975895),Hertfordshire,"['Hertfordshire', 'Watford']"
Villa Park,"Villa Park, Trinity Road, Aston, Birmingham, West Midlands Combined Authority, West Midlands, England, B6 6HE, United Kingdom",52.5091264,-1.8850354312212985,POINT (-1.8850354312212985 52.5091264),Birmingham,Birmingham
Vitality Stadium,"Vitality Stadium, Kings Park Drive, Boscombe, Bournemouth, Bournemouth, Christchurch and Poole, South West England, England, BH7 7AF, United Kingdom",50.73518145,-1.8383279465003122,POINT (-1.8383279465003122 50.73518145),"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole"
